# r_minor                R                      currdens               B_tor                  B_theta                Psi_N                  
# time step #000000
  2.158870100362714E-01  1.001381342417133E+01  8.704070669302130E+04  9.988539864512230E-01  1.226808851597366E-02  6.679531471524737E-02
  2.175200777704069E-01  1.001375936002372E+01  8.694853718091593E+04  9.988629257173230E-01  1.235452362209681E-02  6.779220198517297E-02
  2.191419650255320E-01  1.001370544382504E+01  8.685635658048769E+04  9.988718535142586E-01  1.244022640546368E-02  6.878918208371061E-02
  2.207524699786242E-01  1.001365121775130E+01  8.676419327154785E+04  9.988808130496456E-01  1.252518957033858E-02  6.978598474862883E-02
  2.223524479811833E-01  1.001359719998757E+01  8.667200887231408E+04  9.988897535785981E-01  1.260945861186683E-02  7.078298168992349E-02
  2.239417220079867E-01  1.001354343566241E+01  8.657982667486915E+04  9.988986715941943E-01  1.269302630070211E-02  7.177992024161280E-02
  2.255203670500253E-01  1.001348896407175E+01  8.648766481216680E+04  9.989076611916765E-01  1.277589827865467E-02  7.277667986123233E-02
  2.270896698237376E-01  1.001343453369845E+01  8.639545377770987E+04  9.989166504749118E-01  1.285814322244635E-02  7.377395001185824E-02
  2.286488461088343E-01  1.001338020574152E+01  8.630325043142372E+04  9.989256312672148E-01  1.293972223481389E-02  7.477111383218656E-02
  2.301969801878307E-01  1.001332600964025E+01  8.621112125626919E+04  9.989345981301759E-01  1.302058995837557E-02  7.576745327135916E-02
  2.317363945238903E-01  1.001327190108557E+01  8.611894057751504E+04  9.989435602286718E-01  1.310086879626999E-02  7.676432508861125E-02
  2.332666545389759E-01  1.001321734891677E+01  8.602674801583600E+04  9.989525686154948E-01  1.318053970889740E-02  7.776134333429788E-02
  2.347874066029443E-01  1.001316263641776E+01  8.593457423549227E+04  9.989615954698789E-01  1.325958554411089E-02  7.875815694793131E-02
  2.362994823937694E-01  1.001310833942920E+01  8.584237755431804E+04  9.989705831808483E-01  1.333804758210854E-02  7.975516927671651E-02
  2.378024990952875E-01  1.001305369422581E+01  8.575019843262092E+04  9.989796055907474E-01  1.341590797699084E-02  8.075200256144779E-02
  2.392969108935469E-01  1.001299907708975E+01  8.565801428161972E+04  9.989886283298187E-01  1.349319338632755E-02  8.174887297886160E-02
  2.407829339534312E-01  1.001294456105019E+01  8.556582115946844E+04  9.989976435832785E-01  1.356991637671232E-02  8.274581697361916E-02
  2.422604725427686E-01  1.001288985739335E+01  8.547363614491033E+04  9.990066788125028E-01  1.364607469745381E-02  8.374267196285302E-02
  2.437300319127731E-01  1.001283527154426E+01  8.538143549972738E+04  9.990157053546932E-01  1.372169484455822E-02  8.473967119441954E-02
  2.451913653027409E-01  1.001278053139523E+01  8.528924527800811E+04  9.990247485721704E-01  1.379676617004669E-02  8.573655396602808E-02
  2.466448299565301E-01  1.001272578118890E+01  8.519705121752870E+04  9.990337950166877E-01  1.387130807046994E-02  8.673346330670686E-02
  2.480906082193425E-01  1.001267099742588E+01  8.510485472626334E+04  9.990428469503850E-01  1.394532819763375E-02  8.773038577864807E-02
  2.495286324052435E-01  1.001261608178511E+01  8.501266696123223E+04  9.990519134896551E-01  1.401882682134593E-02  8.872720828964459E-02
  2.509593696250800E-01  1.001256123918303E+01  8.492046420061536E+04  9.990609755633051E-01  1.409182941184236E-02  8.972417145258867E-02
  2.523826432958889E-01  1.001250631016404E+01  8.482826670146077E+04  9.990700479914799E-01  1.416432891068896E-02  9.072106867693421E-02
  2.537987027735623E-01  1.001245137626055E+01  8.473606588916969E+04  9.990791230700514E-01  1.423633868232864E-02  9.171798637346845E-02
  2.552076571388598E-01  1.001239641991966E+01  8.464386251121757E+04  9.990882026013124E-01  1.430786574726559E-02  9.271491783683572E-02
  2.566095345922584E-01  1.001234137093591E+01  8.455166266340547E+04  9.990972931032425E-01  1.437891324825976E-02  9.371180231902225E-02
  2.580045994136488E-01  1.001228632505799E+01  8.445945791803574E+04  9.991063856563496E-01  1.444949413627981E-02  9.470872382400243E-02
  2.593929055258001E-01  1.001223114946029E+01  8.436725483237070E+04  9.991154928444476E-01  1.451961128436304E-02  9.570562100127424E-02
